"TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","IncomePerCap"
4462,2144,2318,5.8,80.4,0.3,2.1,1.7,0.3,3255,26.6,32.5,34.4,19.6,16.2,12.9,16.9,78.2,12,0,1.8,3.1,4.9,21.6,1492,73.9,18,7.5,0.5,14,20213
2397,1216,1181,28.1,58.3,10,0.2,0.7,0,1812,6.2,6.5,35.2,8.3,21.5,14.1,20.9,84.6,11.5,1.5,0.4,1.3,0.7,25.8,1128,87.3,9.5,3.2,0,11.9,32065
1200,611,589,0.3,99.4,0,0,0,0,1024,6.1,1.2,38.7,16.3,20.2,9.8,15,74.8,16.5,4.2,0,2.1,2.4,21.4,620,90.2,7.4,2.4,0,5.8,25914
6247,2796,3451,1.9,83.5,11.6,2.2,0.4,0,4875,9.9,9.3,37.3,16.4,26.3,4.5,15.5,92.9,4.6,0,0,1.1,1.4,19.2,3065,82.2,10.6,6,1.3,5.4,28451
5581,2896,2685,2.9,83.3,6.7,0.7,3.7,0,4591,8.1,7.2,38.6,19.7,30.3,4.3,7.2,71.4,8.4,5.6,7.7,1.5,5.4,25.6,2793,89.4,6.7,3.9,0,7.8,28613
4697,2066,2631,96.4,3,0,0,0.3,0,2367,52.1,70.9,28.9,30.3,20.6,12.1,8,84.8,4.6,1.6,3.8,3.5,1.7,18.9,1470,76.2,12.8,11,0,4.3,11573
3928,2235,1693,81.7,7.1,1.5,0,3.2,5.4,1143,13.9,19.7,14.2,38.7,17,19.2,10.8,59.6,18.1,9.5,2.7,9.3,0.8,27.2,2121,82.1,4.5,13.3,0,3.8,21415
1542,674,868,5.2,83.1,7.9,0,0.3,0,1315,7.1,8.5,45.4,12.4,20.6,9.9,11.8,76.2,14.2,1.4,2.7,0.4,5.1,18.7,961,77.2,20.1,2.7,0,2.5,31681
1093,525,568,0.9,3.8,90.6,0,0,0,836,65.5,70.4,17.7,42,8.1,2.1,30,33.1,9.3,27,8.9,11.3,10.5,34.2,283,82.3,12.7,4.9,0,20.1,11276
3611,1776,1835,0.7,81.7,10,0,0.4,0,2618,27.4,46.7,25.2,23.7,28.9,8.2,14.1,82.3,13,0,4.2,0.5,0,19.1,1705,89.3,8.2,2.5,0,5.5,17579
1943,1079,864,10.4,83.8,1.8,0,1.6,0.4,1758,13.5,32.1,46.6,12.4,24.2,9.2,7.6,81.1,4.9,1.4,0.9,2.2,9.5,25.1,596,69,12.2,18.8,0,12.4,41666
7102,3387,3715,9,34.7,9.3,16.5,12.2,7.6,4988,13.2,24.5,29.1,23.8,30,6.7,10.4,64.1,21.1,0.5,2.6,2.6,9.2,18.5,3516,70.7,17.3,12,0,3.8,26402
8364,3890,4474,6.9,78,4.8,0,8.3,0,5962,4.7,1.2,56.3,12.9,22.4,5.4,3.1,79.8,8.6,0,2.2,0.8,8.6,20.3,4450,65.6,28.9,5.5,0,3.4,38269
5182,2362,2820,4.5,68,25.3,0,0,0,3863,19.2,40.6,35.4,15.4,29.4,10,9.8,86.4,10.7,0,0,0,2.9,28,2279,82.7,14.4,2.9,0,8.1,25744
1002,412,590,6.6,43.4,42.3,0,3.2,0,879,20,0,52.9,26.2,16.1,0.8,4.1,42.3,1.4,22.6,9.4,14,10.3,21.7,665,82.3,15.3,2.4,0,3.8,34456
2943,1485,1458,26.7,53.3,8,1.2,6.3,0.3,2319,11.3,14.9,43.2,11.8,34,3.3,7.7,76.5,8.3,5,0.9,3.2,6,20.3,1619,79.6,14.3,6.1,0,2.8,31176
2331,1701,630,11,58.6,20.5,1.2,1.7,0,2004,25.3,26.3,45,10,23.3,5.8,15.9,87.3,2.5,1.8,5.2,0,3.2,20.1,653,87.6,8.7,3.7,0,6.8,30987
3364,1621,1743,70.6,13.9,12.9,0,0,0,2037,43.6,68.1,17.5,30.9,19.5,15,17.1,82.9,12.1,0,2.6,0,2.4,31.3,1173,72.8,19.5,7.7,0,13.4,15509
1965,1048,917,15.5,75.4,4.2,0.8,1,0,1524,20.2,19.3,30.4,32.2,23.6,7.1,6.8,66.5,10.5,2.2,12.3,2.3,6.1,12.4,780,67.1,21.5,11.4,0,13,21573
4808,2556,2252,12.7,73.6,8.4,0.3,1.1,0,3917,9.4,17.4,33.5,17.9,21.1,10.2,17.4,87.2,8.5,0.5,1.5,0.8,1.5,19.1,2806,84.1,11,4.9,0,5.3,35652
4022,1839,2183,19.2,76.4,0.2,0,1.8,0,2923,3.8,3.4,43,17.4,21.3,9.1,9.3,87.4,6.7,0.1,0.4,2.6,2.8,21.8,1834,66,21.6,12.4,0,8.2,38015
3669,1798,1871,8.3,63.2,19.8,0,5.1,0,2663,9.3,10.5,43.5,7.8,27.6,5.6,15.5,87.7,4.8,0,0,6.6,0.9,20.1,1440,69.9,30.1,0,0,2.1,30014
2839,1378,1461,5.1,64.8,24.8,0,1.3,0,2041,11.4,5.3,24.1,41.5,18.7,1.3,14.3,77.7,19.2,0.3,0,0,2.8,13.2,1471,83.8,12.4,3.3,0.5,9.8,24787
3031,1524,1507,7.3,75.8,0.6,11.5,0.7,0.2,2423,8.3,11.1,39.3,22.1,17.2,11.3,10.2,67.5,6.6,1.1,5.2,0.7,18.8,38.1,1261,62,22.6,14.9,0.5,12.4,34433
11493,5657,5836,10.5,72.8,5,1.9,4.5,0,7506,10,14.1,28.6,14,26.9,10.7,19.8,83.5,10.9,1.4,0.6,0.6,2.9,37.8,5127,80.1,18.4,1.5,0,4.5,26912
4076,2050,2026,9,83.4,5.3,0.1,0.1,0,3164,6.8,11.2,24.7,21.6,21.4,18.5,13.7,92.2,4,1.1,0,0,2.8,31.4,1941,75.2,23,1.8,0,6.1,35675
3740,1917,1823,5.2,88,2.8,0,0,0,2838,11.8,8.2,31.9,22.9,26.1,12.2,6.9,76.2,9.5,6.3,3.2,0.5,4.4,39.5,1896,73.6,20.7,5.7,0,6,29934
5862,2710,3152,4.6,30.3,64.4,0.7,0,0,4304,29.9,61.5,22.6,24.2,27.6,9.5,16.1,86.5,6.6,0,0.5,5.3,1.1,22.9,2569,79.6,16.1,4.4,0,9.1,20397
4695,2229,2466,13.1,48.3,31.5,0.6,6.1,0,3243,7.5,0,47.1,19.3,26.7,1.6,5.3,63.3,13.1,17.6,0.8,0,5.2,30.4,2737,85.2,1,13.8,0,7.8,46473
2309,1103,1206,1,95.1,0.3,0,0,3.6,1748,20.5,27,24.4,15.6,19.1,18.7,22.2,86.6,8.3,1.2,0.8,1.3,1.8,16.9,1148,86.8,7.8,5.4,0,8,22019
5197,2155,3042,5.8,2.8,87.3,0,2.1,0,2927,19.4,26.3,29.7,39.1,19,5.1,7.1,11.3,5.9,74.4,3.3,2.4,2.7,50.7,2196,71.2,21.6,7.2,0,4.8,20485
4957,2689,2268,1.4,21,77.5,0,0,0,4231,13.9,17.8,25.7,23.6,22.5,4,24.1,82.7,3.4,1.1,8.8,1.6,2.4,21.6,1510,83.5,11.5,5,0,12.1,11166
3257,1598,1659,2.6,74.7,7.3,0.2,8.7,0.3,2436,1.5,0.8,52.5,12.5,18.7,4,12.2,80,10.4,3.3,0.8,3.1,2.4,23.3,2076,79,18.5,2.5,0,1.8,48643
4385,2203,2182,30.4,66.8,1,0.5,0,0,3106,13.5,18.4,27.8,19,25.7,15.4,12.2,83.7,10.9,0.5,1.1,0.1,3.7,21.7,1973,75.6,12.2,11.7,0.6,5.5,23192
4823,2489,2334,17.8,76.3,1.8,0.3,1.2,0,3391,10.9,16.4,25.1,17.2,24.5,14.8,18.3,82.5,9.9,0.4,3.1,0,4.2,25.3,2118,78.8,15.8,5.5,0,7.9,22911
3171,1357,1814,9.4,82.4,3.3,0.4,0,0,2487,36.8,52,20.1,19.4,24.3,18.2,18,84.1,7.1,0,2.7,0.7,5.4,17.4,1232,89.5,5.5,5,0,7.5,14556
5750,2831,2919,4.8,49.2,12.7,0,28.8,0,3181,2.4,2.2,66.2,7.5,22.7,0,3.6,73.9,10.2,0,2.2,1.6,12.2,21.6,3176,87.3,8,4.7,0,3.7,47106
5860,3091,2769,2.1,95.3,2,0,0.6,0,4435,1.6,0,53.1,11.1,27.7,5.8,2.3,89.3,1.4,0,0.4,0.3,8.6,32.2,3116,74.6,19.7,5.7,0,1.7,44176
4878,2438,2440,0.1,98.7,0,0,0.4,0,3574,5.9,11.2,33,15.6,19.4,17,15,85.7,5.4,0,1.6,0.7,6.6,23.8,2609,75.2,12.7,12,0,3.6,28918
4548,2117,2431,98.5,1.1,0,0,0,0,3587,29.6,48.4,39.4,15.9,27.4,7.9,9.3,81.4,16.5,0,2.2,0,0,26.5,1386,68.9,28.4,2.7,0,11.3,14377
3824,1877,1947,4.8,82.8,4.4,0,4.1,0,3285,28.5,0,58.5,14.1,17.8,2.5,7,52.5,9.3,1.8,27,4.5,4.7,21.1,2512,78,14,8,0,5,33130
3517,1793,1724,0,94.7,3.7,0,0,0,2742,13.7,23,34.7,13.2,20.9,9.8,21.5,82.7,9.2,0.8,1,0.2,6.1,28.4,1466,75.2,15.3,8.9,0.7,9.6,22711
2428,1250,1178,7,82.9,0,0,4.5,0.4,1902,7.6,17.6,73.4,10.4,13.2,1.2,1.8,50.3,8,5,13.6,10,13.1,20.2,1496,84.8,5.2,10,0,0.7,64907
3404,1604,1800,8.6,68.8,3.9,0,18.5,0,2305,1.9,1.1,71.7,7.7,16.8,2.7,1.1,84.7,3.7,2.8,0,0.4,8.3,28.6,1852,73.3,22.5,4.3,0,1.5,80269
7977,4225,3752,4.9,93.6,0,0,0,0,5919,10.6,18.8,22.2,16.6,19.7,21,20.6,85.1,6,3.7,0.9,2.3,2,23.6,4085,87.3,8.1,4,0.6,9.9,31557
8680,4356,4324,8.8,84.7,0,0.1,5.9,0,5805,6.7,11,43.7,16.3,20.7,8.8,10.5,86.1,7.3,0,1.6,0.7,4.3,22.7,4881,79.1,16.9,4,0,3.2,35444
5390,2649,2741,15,79.2,0.7,0.1,1.7,0,4090,11.6,12.2,48.3,13.6,22.4,5.8,10,75.8,7.8,3.3,1.9,3.5,7.7,30.2,2742,68.9,16.5,14.6,0,5.6,41368
3868,1949,1919,0.2,98.8,0,0,0.6,0,3047,13.9,23.2,29,19.8,21.5,12.4,17.3,82.8,12.4,0,1.6,1.2,2,27.7,1826,79.6,15.8,4.2,0.4,7.5,25052
3715,1691,2024,2.6,87.1,6.5,0.2,0.4,0,2808,11.4,14.1,56.1,20.8,16.6,4.2,2.3,82.4,4.5,0,8.3,0.6,4.2,21.7,1601,69.5,20.7,9.4,0.4,3.8,38696
4088,2102,1986,5.6,78.5,12.8,0,0,0,3275,9.7,27.5,33.7,13.3,21.9,15.2,16,88.4,9,0.8,0.5,0,1.3,26.1,2031,78.1,18.9,3,0,4.4,37828
1305,622,683,0.6,96.5,0.8,1.3,0,0,1141,9.9,31.7,56.9,12,17.2,9.8,4,75.3,0.8,0,1.4,3.9,18.7,28.9,499,70.5,20,8.6,0.8,4.8,41612
2204,1180,1024,0.4,89.5,3.4,1.3,1.3,0,1790,10.6,7.7,30.9,17.3,26.4,6.6,18.9,79.5,6.7,0,3.5,0.5,9.8,16.6,1414,81.6,17.3,1.1,0,4.9,28927
4068,1931,2137,68.9,17.1,3.4,1.3,6.5,0,2000,12.4,11.6,22.7,21.2,21.4,6.8,27.8,54.7,12.8,22.2,6.4,3.8,0.1,34.1,1931,85.3,8.1,6.5,0,6,21057
1109,550,559,13,0.8,83.1,0,2.3,0,676,12.2,17.5,22,24.5,31.9,13.9,7.6,42.9,5.7,42.3,0,3.6,5.5,54.7,595,72.8,24,3.2,0,5,30942
4386,2192,2194,76.1,13.5,9.3,0,0.2,0,2133,20.7,34.9,19.4,16.4,18.1,21.7,24.5,76.7,15.4,0,1.7,0.7,5.6,32.8,1887,82,10.4,7.6,0,5.7,17014
3138,1754,1384,3,31.7,53.2,0.4,0.3,0.4,2509,34.1,51.1,31,21.1,22.3,8.4,17.2,57.8,10.8,7.9,3.1,13.8,6.6,19.1,1483,84.2,11,4.9,0,11.7,18427
5918,3029,2889,3.5,91.9,0.6,2.7,0,0,4227,4.2,5.3,43.7,11.5,21.2,10.6,13,81.9,10.8,0.2,0.6,0.6,5.9,25.1,3146,76.5,13.8,9.4,0.3,2.2,41595
2669,1681,988,3.3,86.2,8.2,0.3,0.3,0,2209,12.2,19.1,37,13.4,35.2,7.8,6.5,86.6,8.8,0,2.9,0,1.7,22.9,1394,87.2,10.1,2.7,0,2.4,30669
7225,3597,3628,31.3,41.7,15.4,0,10.7,0,4662,12.9,19.4,37.7,18,24,10,10.3,81.6,7.9,1.3,0.2,2.5,6.4,29.1,3709,89.1,5.9,5,0,4.8,28233
5273,3149,2124,5.1,49.1,31.5,8,0.3,0,4152,19.1,23.2,30.8,26.5,19.6,12,11,88.3,7.9,0,0,0.6,3.2,26.5,1718,77.6,14.7,7.7,0,11.8,18298
4382,2128,2254,2.9,80,15.7,0,0.8,0,3371,11.6,12.7,23.7,18.5,23.4,9.5,24.9,74.7,20.8,0.2,0.4,1,2.9,26.6,2342,87.5,7.7,3.8,1,4.3,24508
580,352,228,2.6,78.8,2.8,9,0.9,0,503,26.8,36.4,22.6,13.4,18.4,34.7,10.9,33.5,7.1,0,13.8,13,32.6,29.8,239,55.2,16.7,28,0,15.8,26571
5715,2744,2971,89.5,10.2,0.1,0.2,0,0,2479,41,51.9,8.3,17.4,16.7,32.7,24.8,85,6,0,0,6.4,2.6,30.7,2028,83.9,5.4,9.6,1.1,10.4,10986
6756,3198,3558,32,61.1,0.9,0,2.4,0,4383,4.7,4.6,46,11.3,27.2,6.6,8.9,81.4,6.3,0,2.1,1,9.3,34.9,3479,70.5,24.7,4.4,0.3,4.4,31934
4034,1731,2303,8.6,81,1.7,0.3,8.4,0,2783,1.8,0,51.8,16.7,22.1,8.4,1,65.6,1.6,20.5,7.5,0.5,4.4,27.7,2299,74.8,22.1,3.1,0,1.8,47823
3511,1734,1777,8.3,88.8,0.4,0,0.2,0,2528,5.2,10.7,47,14.4,25,8.7,4.9,83.9,5.7,2.2,0.4,0.9,6.8,35.1,1857,75.3,18,6.7,0,7.1,45317
4130,1907,2223,33.3,51,3.4,0,9.1,0,2796,23.1,33.4,37.1,24,25.5,9.1,4.3,89.5,5.4,1,0.8,0.4,2.9,26.5,1929,74.1,19.2,6.6,0,7.4,27263
4430,2183,2247,14.5,79.6,4.6,0.1,0.1,0,3241,19.7,26.7,24.8,21.3,24.4,6.6,22.9,79.7,12.8,0.6,1.9,1.2,3.9,18.9,1810,85.8,8,6.2,0,3.6,20959
4935,2582,2353,1.2,76.2,9.4,0,11.8,0,3405,4.5,0,64.1,8.3,23.4,0,4.1,74.7,4.6,1.6,2.2,3.3,13.6,22.8,2971,86.9,8.5,4.5,0,1.9,90508
2607,1290,1317,3.2,90.6,0.4,0,1.2,0,2045,5.8,10.2,45.7,20.7,23,4.2,6.3,74.1,13.9,0.3,0.6,2.1,9,33.4,1234,74.1,19.9,6,0,5.9,46351
4724,2291,2433,93.9,3.2,0,0,0,0,3672,56,62.7,29.2,21.7,25.2,15.7,8.2,76.4,15.3,0,3.2,0,5.2,28.3,1214,63.8,16.8,19.4,0,29.2,7098
8454,4115,4339,8.1,54.3,2.3,0,33.8,0,4757,5.2,4.2,61.2,12.6,20.8,2.7,2.7,86.1,8.2,0,1.2,1,3.5,25.9,4294,89.3,8,2.7,0,4.4,41522
5585,2489,3096,3.6,82.8,0,10.6,0.5,0,4384,15.9,27.6,24.1,24.1,29.5,9.6,12.7,86.2,11.8,0.1,0,1,0.9,16.7,3162,85.2,7.6,7.2,0,1,27023
2952,1487,1465,10.6,65.2,16.8,0,5.1,0,1853,1.6,0.9,55.9,7.5,28,3.3,5.3,74.4,4.4,0.6,0.3,0.2,20.1,33.5,1498,84.2,9.7,6,0,4.7,50335
8886,4335,4551,16.1,69.7,7.4,0.2,4.7,0,5618,2.9,3.3,50.3,9.8,24.3,5.6,10,84.8,7.3,0,0,2.7,5.2,35.7,4381,74.8,18.8,5.4,1,3.2,43854
4958,2393,2565,4.8,3.6,0.9,82.9,1.2,0.7,3070,47.4,51.3,32.6,26.8,20,10.6,10,62.2,18.2,1.8,12.4,5,0.3,24.7,1265,32.7,64.3,2.9,0,31.1,10395
17952,8655,9297,14,55.7,17.8,0,8.8,0,11710,5.3,4.9,38.9,14.7,25.6,10.5,10.2,83.6,9.3,0,0.4,1.4,5.3,35.3,8845,83.5,10.7,5.8,0,8.8,28563
3305,1632,1673,1,74.4,20.8,0.7,2.3,0,2629,12.6,11.8,46.5,12.9,29.2,5.3,6,89.4,6.6,0,0,1.4,2.5,15.4,1405,64.4,27.5,7.5,0.6,7.5,28693
4782,2356,2426,0,98.8,0,0,0,0,3689,6.5,11,29.4,15.6,23.1,16.8,15,91,4.8,0,0.4,0,3.8,29,2174,83.4,13.6,3,0,4.7,31307
6512,3272,3240,27.9,44.6,6.2,0.4,15.7,0,4168,6,5.6,40,14.2,20.8,16.2,8.8,78.4,7.6,2.7,3.2,1.7,6.5,33.5,2772,77.8,14.4,7.5,0.3,7.9,30748
6716,3326,3390,8.2,87,0.9,0.3,0,0,5034,11.1,15.2,32.7,14.1,26.4,12,14.8,85.5,8.8,0.1,1.3,0.1,4.2,22.7,3294,77.9,14.9,7.2,0,5.2,27228
2040,961,1079,6.3,68,22.7,0,1.8,0,1638,11.7,13.9,21.9,14.1,30.9,8.5,24.6,84.9,10.4,3.6,0,0.9,0.1,23.4,970,89.7,9.4,0.9,0,15.7,22078
2578,1270,1308,6.9,88.9,1.6,0,1.5,0,1964,17.6,13.4,31.4,22.2,20.5,13.5,12.4,75.5,7.5,2.8,7.9,4.7,1.5,21,1328,87.4,9.3,3.2,0,4.9,22742
3830,1814,2016,4.8,71.5,1.9,6.9,10.9,0,3097,1,0,46.8,14,30.4,2.5,6.3,84.5,9.6,0.3,0,1.1,4.5,21.6,2072,69.4,25,5.5,0,1.1,45775
3237,1539,1698,1.6,94.9,0,0,0.5,0,2428,4.4,6.1,34.7,14.9,28.9,11,10.6,87.8,4.4,1.8,0,2.1,4,31.7,1816,87.7,10,2.3,0,4.4,37644
6264,3251,3013,19.4,59.2,18,0,0.6,0,4141,9.4,16.9,43.5,16.1,20.9,14.8,4.8,90.5,4.8,0,1,0.9,2.9,31.9,3015,78.1,12.9,8.9,0,4.3,32717
3725,1815,1910,8.5,86.3,0,0,5.2,0,2941,5.4,6.7,30.1,13.8,24.1,13.3,18.7,84.4,6.2,3.3,1.7,0.2,4.3,26.4,2019,85.6,11.2,3.2,0,6.3,32215
3590,1807,1783,0.4,97.7,0.2,0.1,1.1,0,2872,3.9,4.3,39.6,15.9,22.3,9,13.3,86.8,5.6,1.2,0.4,1.8,4.2,27.4,1977,83.4,11.2,5.2,0.2,3.8,40159
2927,1328,1599,1.2,89,3.2,0.6,4,0.4,2356,14.7,5.5,57.5,5.7,27.8,2.6,6.5,87.7,2.3,0,5.9,0,4.1,20.7,1423,69,24.7,6.3,0,7.4,48170
1927,976,951,3.2,93.4,1.1,0,0,0,1574,4.9,3.4,35,17.9,26.1,8.1,12.9,95,4.3,0,0,0.3,0.4,17.9,1049,83.9,13.3,2.9,0,2.6,31875
2001,853,1148,1.6,89.1,4.3,0,0,0,1694,16.2,37.1,42.9,16.8,25.3,5.6,9.4,68.9,10.9,1,0,3.1,16.2,15.8,822,70.1,23.2,6.7,0,7.5,30838
2431,1155,1276,4.5,65.7,19,1.1,1.3,0,1626,47.8,54.9,14.3,24.9,21.3,2.2,37.3,65,19,1.3,5.5,3.1,6.2,17.9,742,86.4,6.7,6.9,0,27,11389
4683,2250,2433,6.1,93.1,0,0,0.2,0,3671,10.6,15.5,21.8,17.4,21.1,11.4,28.3,81.2,10.9,0.7,1.1,2.8,3.3,20.1,2271,87.2,5.8,6.3,0.7,3.3,28928
7010,3389,3621,94.6,4.4,0.8,0,0,0,4091,25.2,36.3,22.5,16.8,30.5,15.4,14.9,85.2,6,1.6,0.9,2.2,4.2,25.7,3242,77.6,11,11.3,0,4.9,15998
2753,1491,1262,5.3,74.1,19.7,0.3,0,0,2232,25.4,52.4,18.3,15.9,19.7,11.7,34.5,91,2.6,0.3,0,2.1,4,24.1,1190,76.8,22,1.2,0,8.5,24041
11261,5410,5851,99.3,0.7,0,0,0,0,8025,34,53.1,45.6,15.4,25.2,8.8,5,88,3,1.1,0,4.5,3.4,30,4150,67.4,22.5,10,0,16.1,18184
1797,935,862,24.9,65.2,4.8,0,4.9,0,1320,6.3,0,62.7,11.9,13.1,9.8,2.5,81.9,7.7,0,0,1.4,8.9,33.9,834,84.1,13.9,1.7,0.4,8,27912
4761,2373,2388,25.2,63.9,4.1,0.2,0.9,0,3363,21.9,33.8,26.6,17.7,28.4,7.7,19.6,81.3,13.2,2.4,0.4,1.5,1.2,19.3,2236,81.4,15,3.7,0,7.5,24594
4433,2182,2251,6.8,44.4,39.2,0,8.4,0,3368,6.2,10.7,33.6,21,26.8,6.3,12.3,81.4,14.3,0.9,0.6,1.2,1.6,21.1,2085,81.3,10.3,8.4,0,3.2,32160
2821,1389,1432,0.7,94.6,1.1,0,0,0,2265,31.6,36.1,24.1,29.8,24.6,8.2,13.2,90.4,2.3,0,0,1.8,5.6,15.7,1223,74.4,19,6.6,0,5,17836
5824,2830,2994,40.6,37.2,12.6,0,6.6,0.4,4033,30.8,41,11,43.4,27.5,4.8,13.3,80.1,7.5,7.2,0.3,2.6,2.2,22.1,2849,94.1,4.7,1.2,0,6.9,17659
4577,1923,2654,9.7,21,65.9,0,1.8,0,3185,12.1,0,41.3,29.4,17.5,6,5.7,11.5,3.4,80.2,1.7,1.5,1.7,42,2598,78.9,16.3,4.8,0,7.5,32285
2729,1448,1281,1.9,90.7,2.4,0.3,0,0,2210,4.7,0,37.8,11.4,24.7,10.7,15.5,79.7,11.5,2,3.5,1.2,2.1,21.2,1467,87.9,7.4,4.6,0,9.8,26737
3596,1739,1857,1.8,45.1,49.3,1.1,0,0,2811,12.4,15.4,25.1,12.9,29.2,17.2,15.5,84,8.2,0,1.1,3.3,3.3,30.3,1516,75.5,18.4,6.1,0,9.8,25447
2374,1403,971,63.9,22.2,2.7,1,10.2,0,1372,51.1,58,14.5,43.5,8.3,6.8,26.9,62.7,7.4,12.7,3.3,5.2,8.7,23.3,662,84.7,7.4,7.3,0.6,7.3,11304
2882,1392,1490,11,48.2,23.2,1.7,5.3,1.1,2096,5.6,7.2,38.2,17.2,22.7,12.2,9.7,83.7,7,0.3,1.1,1.4,6.5,23.7,1451,75.8,22.3,1.9,0,10.1,32373
5747,2692,3055,0,95.5,0.5,0,0,0,4209,23.4,34.8,25.9,17.4,18.8,11.6,26.4,77.4,20.4,0,0,0.6,1.6,44.7,1898,81.9,13.5,3.9,0.7,5.2,18881
1821,870,951,1.8,89.7,1.9,2.4,0,0,1504,11.6,15.2,29.7,15.4,31,7.7,16.2,84.9,4.8,0.8,1.8,3.6,4,18.4,788,82,15.1,2.9,0,11.9,27890
4027,1919,2108,61.8,10.4,26.8,0,0.3,0,1555,34.8,50.6,11,33,20.4,20.7,14.9,69,16.8,4.6,0,6.2,3.4,29.1,1781,89.3,1.4,9.3,0,8,14774
4742,2375,2367,2.6,95.7,0.2,0,0.4,0,3522,3.6,2.7,42.6,15.8,25.7,4.4,11.5,83,8.1,0.3,2.4,0.9,5.4,21,2360,78.3,13.9,7.8,0,3.7,35841
1459,624,835,7.3,19,69,0,0,0,985,29.5,40.3,14.7,26.3,25.2,3.5,30.2,84.1,6.8,4.5,0,0,4.5,22.5,539,86.8,8.7,4.5,0,18.2,16643
3322,1611,1711,0,96.9,0,0.3,1.4,0,2480,4.7,6.3,33,13.3,28.7,11.4,13.7,87.7,7,0.5,0,0.6,4.2,20.2,1629,80.9,12.4,6.7,0,4.6,27589
7473,4206,3267,3.1,92.5,1.4,0.3,0,0,6152,19.6,37.9,24.4,23.3,26.5,11.3,14.6,85.3,8.4,0,2.1,0.5,3.7,18.9,3546,78.2,13.3,8.5,0,6,24393
5237,2609,2628,3.3,74.3,5.1,0,14.4,0,3521,0.5,0,55,13.8,23.9,3.9,3.4,80.4,3.9,4.8,1.1,1.2,8.6,29.1,2904,82.4,8.7,8.5,0.3,4.6,46593
2773,1487,1286,0,68.3,30.1,0,0,0,2395,15.6,24.7,32.3,5.6,29,13.3,19.8,84.2,10,0.6,0.2,2.5,2.5,23.8,949,79.5,9.6,9.9,1.1,6,23121
5368,2573,2795,20.9,67.1,10.7,0,0.5,0,4003,30.6,59.1,21.4,22.8,27,8.3,20.4,91.2,4.3,0.4,0,0.5,3.6,26.6,2758,89.4,8.8,1.8,0,7.9,22636
2197,995,1202,17.9,44.6,35.8,0.9,0.3,0.5,1832,18.4,8,25.2,22.4,19.3,12.6,20.5,84.3,8.7,4.7,1.1,0,1.3,30,854,86.8,6.9,6.3,0,10.2,20821
6044,2980,3064,2.2,87.3,7.9,0.2,0.4,0,4637,6.2,7.8,50.6,10,18,12.4,9,81,4.8,0.4,3.3,2.7,7.9,32.3,3181,74,17.4,8.6,0,4.8,34870
1849,644,1205,0.4,2.2,97.3,0,0,0,1246,42.6,64.2,18.4,44.2,25.1,1.3,11,69.9,8,9.9,0.7,11.5,0,23.8,602,90.4,8.3,1.3,0,20.4,16461
3409,1425,1984,52.2,11.3,27.6,0,7.4,0,1939,20.5,36.9,19.3,25.4,25.2,7.5,22.6,78.9,8.3,9.7,1.3,1.8,0,26.1,1545,91.1,8.5,0.5,0,7.8,19724
1507,638,869,6.4,92,0,0,1,0.1,1379,6.4,4.2,53.4,11.4,24.7,7.6,2.9,71.7,1.6,0,7.9,0,18.8,20.5,526,69.2,10.5,20.3,0,4.2,48217
4780,2310,2470,46.1,6.8,45.4,0,0,0,2946,37.6,54.9,17,26.5,22.4,17.4,16.7,50,20,14.8,10.4,4,0.8,21.3,1789,85.9,14.1,0,0,14.9,18608
11475,5506,5969,1.2,65.8,27.2,0,3.3,0,7672,7,6.5,54.1,16.4,22.8,2.5,4.2,84.8,8.3,0.4,0.3,0.6,5.7,28.3,5970,78.1,16,5.7,0.2,4.4,38096
6632,3173,3459,1.9,91.6,4.3,0.2,0.8,0,5338,16.4,21.2,36.4,20.4,22,11.9,9.2,79.8,6.8,0,6.7,0,6.7,18.2,2999,72.6,20.4,7,0,10.7,20956
2819,1173,1646,0.3,2.1,96.2,0,0.9,0,2406,28.2,62.8,16.7,29.4,47.9,2.2,3.9,52.5,16.4,21.5,4.8,0.8,4,28.2,1297,76.6,12,11.5,0,15.6,24897
9632,6165,3467,41.1,37.6,18.8,0,1.2,0,6282,11.2,17.2,19.6,19.1,19.7,38.2,3.5,80,8.8,5.1,3.5,0.2,2.3,22.6,3313,80.2,12.9,7,0,3.6,24451
2298,1438,860,7.6,75,12.8,0,1.9,0,2094,21.4,13.1,55.6,17.5,23.1,3.8,0,69.3,6.4,9.6,6.6,3.7,4.5,23,1776,82.4,13.2,4.4,0,2.6,50548
2447,1355,1092,10,80.7,6,0,0.4,0,1631,30.2,41.7,17.6,22.3,20.2,3.3,36.5,65.7,12.3,0.5,0.8,17.2,3.5,19.6,1018,85.4,4.8,8.3,1.6,10.3,17165
4035,1672,2363,2.7,6.1,90.8,0,0,0,3264,30.8,38,17.1,23.3,30.1,3.9,25.6,75.8,10.5,6.5,1.5,2.7,3,21.9,1425,92.1,6.5,1.3,0,11.9,24038
