"TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","IncomePerCap"
4638,2003,2635,3.2,49.2,39,0,4.6,0.3,3554,7.4,11.1,67,10.3,17.8,0,4.9,87.2,3.9,1.7,0.7,0.4,6.1,20.6,2818,74,24.2,1.8,0,3.8,42864
3761,1750,2011,2.6,86,4.1,0,4.9,0,2958,3.3,3.8,50.4,11,26.1,3.9,8.6,85.8,7.4,0,0.1,0.6,6.1,17.2,2145,82.3,9.1,8.6,0,1.6,51118
12352,5843,6509,3.3,80.4,4.7,0.3,8.5,0,8200,1.2,1.3,53.5,12.6,23.7,2.8,7.4,91.9,3.5,0.3,0.5,0.2,3.6,27.7,6091,80.5,13.7,5.8,0,1.9,52276
4008,2077,1931,6.1,88.7,0,2.7,1.1,0.1,3208,10.5,1.2,59.3,13.7,15.9,4.2,7,63.7,5.7,4.2,5,10.2,11.1,16.1,2479,71.3,22.5,6.3,0,3.1,45355
6471,3037,3434,7,78.7,9.2,0.4,4.2,0,5064,6.5,3.1,57.9,12.4,22.3,2.1,5.3,82.2,7.5,0.6,1.2,0.4,8.1,20.5,4080,80.3,16.8,2.5,0.4,1.7,60214
4156,2060,2096,26,46.5,22.8,0,3.8,0,2815,14.2,20.4,36.2,24.8,18.6,15,5.4,71.4,15,4.1,3.8,3.2,2.3,16,1899,74.5,19.8,5.7,0,9,27919
2822,1237,1585,11.2,78.3,8.4,0.5,1.7,0,1986,20.2,27.3,19,29.1,27.5,14,10.4,81.6,3.8,1,0,2.3,11.3,29.4,1099,82.3,10.2,7.6,0,13.6,16931
5987,3101,2886,4.5,71.3,4.2,0,16,0,4439,1.7,1.4,58.1,10.7,26.1,3.5,1.6,81.3,5.7,4.9,0,0.5,7.5,28,3403,77.9,15.1,7,0,4.3,54047
2495,1258,1237,2,96.6,0.5,0,0,0,2025,10,27.1,47.2,12.5,34.3,3,3,78.7,4.3,0,3.4,0,13.5,22.9,1151,87.7,0.6,11.6,0,3.6,51954
4661,2182,2479,0.2,1.2,94.9,0,0,0,3646,30.3,36.4,31,21.7,32.7,2.4,12.2,51.2,4.6,40.2,2.1,0,1.9,39.9,1715,79.5,16.6,4,0,11.3,19779
3888,1792,2096,9,88,0.5,0,2.6,0,2986,4.8,6.8,41,13.7,27.9,6.6,10.8,75.2,5.2,14.9,1.8,0,2.8,36.2,2024,71.3,25.4,3.2,0,4,45583
7728,4016,3712,18,15.3,15.4,0,47.3,0,5002,14.9,17.3,37.8,16.5,24.4,8.3,13,39.1,16.6,32.2,4.9,2.9,4.3,43.1,3569,79.9,15.1,4.6,0.5,9.8,29561
5181,2829,2352,30.2,11,25.7,0.1,22.1,0,3153,17.7,21.5,29.9,28.6,19.3,7.6,14.6,64.2,10.1,19.8,0.4,1.5,4,36.2,2226,81.3,9.3,9.1,0.4,12.5,22080
3355,1653,1702,27.5,46.6,20.3,0,3.5,0,2391,18.5,25.7,19.9,26,25.3,4.2,24.6,82.4,11.6,3.1,0.2,2.6,0.1,27.7,1559,86.5,10.9,2.6,0,9.8,22898
4066,2080,1986,2,95.5,0.3,1.2,0.1,0,3174,12.1,22.3,28.6,16.8,20.2,15.1,19.2,84.1,7.9,0.1,2.1,0.4,5.5,28.7,1967,82.6,9.8,7.6,0,4.3,28818
4244,2105,2139,18.5,3.8,75.3,0,0.2,0,2569,7.2,9.6,26.9,28.3,21.2,11.5,12.1,41.6,8.8,41.4,6.6,0.5,1.1,43.7,2233,78,18.2,3.9,0,9.5,29696
4805,2239,2566,5.3,92,0.6,0,0.5,0,3548,2.1,3.5,58.4,10.1,23,1.8,6.7,83.4,6,2.5,1.1,1.4,5.5,24.7,2680,80.1,15.4,4.5,0,2.8,53511
2363,1188,1175,54.2,25.6,12.4,0,1.3,0,912,30.4,40.1,14.3,32.9,12.4,16.7,23.6,70.4,19.3,1.3,3.2,3.8,2,22.8,902,81.4,9.3,9.3,0,8.7,11835
2327,1196,1131,1.2,94.7,0,3.8,0.1,0,1839,10.9,0.9,41.3,20.4,15.3,11.9,11.1,65.8,7.1,0,14.2,0.3,12.6,12.2,1120,53.2,22.2,24.4,0.2,0.3,29714
2859,1184,1675,6.1,3.2,87.4,0,1,0,2245,43.8,61.1,36.3,31,15.9,0,16.9,65.4,12.7,10.7,6.5,4.7,0,18.4,1037,70.3,28.8,0.9,0,16.2,22205
5852,3057,2795,0.5,97.2,0.2,0.2,0.4,0,4476,13.8,26.5,24.7,25.2,21.2,14.4,14.5,83.1,10.9,0.3,0.8,0.7,4.2,29.3,2411,73.2,20.1,6.4,0.2,11.4,25289
4559,2099,2460,3,12.7,73.1,0.3,6.6,0,3563,13.2,16.8,28.3,20.4,30,3.3,17.9,81.3,11.6,3.1,0,0.9,3.1,32.1,2098,81.2,12.5,6.3,0,9.3,26068
4124,2016,2108,0,9.4,88.4,0.4,1.8,0,2952,38,58.8,20.5,21.2,34.1,7.4,16.8,85.7,11.3,0,0,1.9,1.2,20.1,1640,83.9,13.6,2.5,0,19.6,16194
4910,2441,2469,8.7,80.5,2.1,0.7,6.3,0,3873,7,7.4,35.6,19.8,24.2,12.9,7.5,87.5,4.7,0,0,1.7,6.2,22.5,2233,74.9,16.9,8.2,0,6.5,32923
6406,2849,3557,5.4,42.6,45.1,0,2.8,0.2,4926,6.7,8.8,33,17.2,29.8,7.8,12.2,90.6,6.6,0,0,1.4,1.4,24.8,3588,80.4,18.2,1.5,0,3.9,31260
11333,5568,5765,54.4,9.7,3.4,0.4,30.7,0,6206,16.8,19.8,20.6,21.7,22.5,10.6,24.6,79.3,14.6,1.6,0,1.9,2.6,22.3,5184,78.4,17.9,3.7,0,10.1,16429
7314,3459,3855,39.2,50.3,5.6,0,2.3,0,4341,15.8,25.5,35.6,25.9,19,9.8,9.7,75.1,12.2,0.3,2.4,0.7,9.3,21.8,3941,85.6,9.8,4.5,0,2.7,29189
5135,2387,2748,9.3,64.6,14.1,0.2,10.2,0,3540,6.4,0,80.3,2.8,16.6,0,0.3,6.7,2.5,73.7,4,5.3,7.8,36.7,2973,83,11.3,5.8,0,5.4,76481
3679,1961,1718,1.8,95.6,0.4,0.4,0.8,0,2969,7.1,4.5,21.7,17.6,16.2,15.3,29.2,86.5,8.3,0.1,0.6,1.3,3.1,26.4,2023,82.5,9.8,7.3,0.3,3.9,29888
5269,2740,2529,16.6,82.7,0.6,0.2,0,0,4176,4.1,8,53.5,10.9,22.2,11,2.5,81,4.7,1.7,0.7,0.6,11.4,46.4,2562,78.2,15.9,5.7,0.2,4.3,49608
4031,1938,2093,71.3,20.7,0.9,0,6.7,0,1740,19.2,29,18.1,33.6,22.8,12.1,13.4,13.9,1.3,65.9,16.7,2.3,0,38.7,2160,84.7,7,8.3,0,5.2,21077
3941,1934,2007,0.3,96.7,0.5,0.2,1.1,0,2996,2.1,2.6,58.8,7.6,27.6,2.4,3.6,88.7,5.9,0.1,0.6,0,4.7,29.8,1756,82.2,12.2,5.6,0,6.9,68655
5024,2394,2630,10.5,68,19,0.6,0.4,0,3719,18.5,21.8,24.8,21,22.7,9.1,22.5,85.2,9.3,0,2.1,2,1.5,25.9,2149,83.8,15.2,1,0,8.6,19990
1645,759,886,6,89.9,4.1,0,0,0,1097,37.3,59.2,11.6,26,16.7,5,40.8,82.7,11.1,0,3.9,2.3,0,20,701,91.7,7.4,0.9,0,9.1,17291
9887,5181,4706,35,48.1,3.8,0,10,0,6307,11.2,16.5,35.7,23.7,20.2,9.6,10.8,80.6,15.8,0,0.4,2.5,0.7,24.1,4244,61.5,33.9,3.9,0.7,7.8,33122
1756,791,965,0.3,14.3,82.6,0,0,0,1312,40.7,57.3,22.1,33.6,15,5.1,24.1,80.7,6.6,8.9,3.8,0,0,25.8,565,79.3,16.6,4.1,0,13.7,16556
2476,1235,1241,5.3,70.8,19,0,4.9,0,1996,10.6,14.1,36.4,14.2,14.5,15.4,19.6,84.4,11.2,0.5,0.6,1.7,1.7,24.7,1335,69.3,21.8,5.7,3.2,5,33928
2536,1294,1242,6.4,91.3,0.3,0.2,0,0,1819,10.7,15,29,10.7,18.7,21.1,20.5,78.2,11.4,0.3,3.4,0.9,5.7,18.1,1276,74.7,14.2,10.7,0.4,2.3,28180
5124,2238,2886,77.1,0.8,20.7,0.2,0.2,0,2205,27.6,41.8,13.4,31.5,38.1,6,11,72.8,13.7,6.4,2.2,0.5,4.6,30,2088,80.6,10.5,8.6,0.3,9.5,14945
8623,4180,4443,10.4,77.7,2.2,0.8,6.1,0.6,7079,8.9,4.3,23.3,24.1,29.8,11.7,11.1,80.9,5.7,0.7,3.2,3.6,5.9,31.8,2754,76.3,16.8,6.3,0.5,5.9,27265
4666,2552,2114,9,86.1,4.8,0,0,0,3518,14.9,22.4,29.3,16,20.9,12.5,21.3,78.9,7.2,0,5.4,1.8,6.7,24.9,2326,70.3,19.1,10,0.6,5.1,22722
3554,1771,1783,1.4,95.6,0.6,0.6,0.8,0,2799,16.8,23.1,30.6,23.5,27.1,8.9,9.9,80.5,10.9,0.9,3.2,0.9,3.6,30.7,1578,66.5,24.2,9.3,0,11.5,25684
4845,2499,2346,2.9,88.5,7,0,0.7,0.1,3798,4.6,8.2,50.7,16.9,22.8,4.4,5.1,82.4,4.2,1.2,2.8,0.9,8.5,29.1,2585,75.4,17.1,7.4,0,2.2,40615
1317,690,627,1.8,94.7,0.1,1.1,0.5,0,983,10.3,10.5,37,18.8,19.4,15.8,9,81.4,2.9,0,10.4,0,5.4,18.8,568,67.3,19.9,12,0.9,5.6,24252
3045,1407,1638,2.6,95,0,0,2.1,0,2924,4.3,7.6,52.5,5.1,32.7,3.4,6.4,75.9,6.3,0,0,1.3,16.5,25.4,829,71.2,12.5,16.3,0,13.6,59543
5672,2895,2777,64,4.1,23.1,0,2.6,0,3203,18.2,13.9,23.7,26.1,21.8,10.5,17.9,53.7,7.9,30,5.6,2.3,0.5,36.8,2414,81.3,14.7,4,0,7.5,17646
4709,2466,2243,6.5,82.7,1.4,0,4.9,0,4061,14.5,2.3,43.3,16.3,24.2,5,11.2,58.5,8.1,18.1,0.5,7.3,7.6,30.8,3076,82.3,8.5,9.2,0,7.8,32804
6902,3293,3609,8,80.1,2.3,0,8.6,0,5118,9.9,17.3,49.7,12.9,27.1,5.4,4.8,83.6,5,5.4,1.3,0,4.8,26.1,3303,81.3,11,7.7,0,6.6,39370
3358,1649,1709,2.1,75,8.6,0,14.2,0,2544,3.7,5.3,61.9,11.4,21.6,0.9,4.2,88.9,6.2,0.6,0,2.1,2.1,26.6,1396,73.3,21,5.7,0,4.8,48014
3557,1925,1632,61.5,30.4,6.2,0,0,0,2260,12.2,25.3,19.6,14.3,28.1,16.5,21.6,77.3,16.5,1.4,1.9,0.5,2.5,19.5,1785,84.3,5.8,9.9,0,5.1,24750
3176,1552,1624,77.1,1.4,0,0,21.5,0,1379,13.3,11.2,15.3,20,22.9,14.3,27.5,64.4,17.7,3.3,5.9,0.5,8.3,25,1312,78.7,11.1,10.1,0,4.7,15748
5837,2753,3084,19.3,31.4,42.4,0.2,1.5,0,3519,22.9,41,30.2,24,26.9,1.3,17.7,83.7,10.3,1.7,0.9,0.7,2.6,22.3,2628,75.8,20.7,3.5,0,3.9,20393
3500,1742,1758,11.6,80.8,0.2,0.9,1.8,0.3,2492,18.1,22.1,35.9,17,26.2,12.3,8.5,71.6,12.2,0.1,3.3,5.8,7,20.9,1802,70,21.5,8.5,0,6.4,24399
1435,677,758,0.8,60.5,37.8,0,0,0,1203,23.4,17.4,14.2,18.9,21.3,11.7,33.9,72.8,14.6,0,0,12,0.5,25.6,572,83.2,12.6,4.2,0,13.9,20536
4192,1966,2226,2.3,69,20.6,0.7,6.1,0,3132,9.5,0,32.6,24.9,25,10.9,6.6,86.8,11,0,0,1,1.2,27.3,1653,69.4,25.4,5.1,0,12.2,21222
3673,1612,2061,5.7,75.2,15.8,0.2,1.5,0,2777,17.5,12.5,38.2,17.5,19.4,14.9,10,86.2,5.9,0.5,0.1,3,4.3,24.8,1507,73.5,18.5,8,0,3.3,18670
6253,3614,2639,42.4,39.3,11.4,0,4.3,0,3729,13,21.3,32.9,28.2,18.6,15.6,4.7,64.2,21.3,3.9,2.1,2.7,5.7,25.3,4015,88.6,7.1,4.4,0,3.3,42358
5010,2461,2549,1.4,97.4,0,0.2,0,0,3983,3.9,4.9,24.1,15,27.1,18.8,15,90.6,4.4,0,0,0.2,4.8,28.6,2874,86.6,8,5.3,0,4.4,30840
1507,734,773,3.3,90,1.2,0.1,1.5,0.6,1259,8.9,9.4,34.2,22.2,22.2,7,14.4,71.6,7.2,1.4,7.4,3.9,8.5,21.3,672,70.7,16.1,13.2,0,3.7,35848
4017,2023,1994,1.6,96.1,0.2,0,1.2,0,2999,16.1,32.7,26.7,14.4,19.7,10.8,28.4,86,9.1,0.2,0.4,1.2,3.1,25.4,1922,86.4,8.6,5,0,2.9,23586
3368,1745,1623,3,95.4,1.3,0.1,0,0,2663,14.6,12.9,24.9,20.5,23.2,16.2,15.2,82.5,10.4,0.1,1.7,0.8,4.5,23.1,1412,77.6,14.7,7.2,0.4,6.7,26410
